Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,19,14,1.0,14.6,Yengil yomg'ir
08.04.2026,Chorshanba,17,13,6.4,14.8,Kuchli yomg'ir
09.04.2026,Payshanba,19,12,0.7,17.5,Yengil yomg'ir
10.04.2026,Juma,22,12,0.0,10.3,Ochiq
11.04.2026,Shanba,23,13,1.2,13.5,Yengil yomg'ir
12.04.2026,Yakshanba,23,14,0.0,8.4,Ochiq
13.04.2026,Dushanba,24,15,0.0,10.0,Ochiq
