Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,18,12,5.9,8.7,Kuchli yomg'ir
08.04.2026,Chorshanba,13,10,10.6,19.1,Kuchli yomg'ir
09.04.2026,Payshanba,17,8,0.1,13.1,Bulutli
10.04.2026,Juma,20,8,0.0,9.4,Ochiq
11.04.2026,Shanba,21,9,2.1,13.1,Yomg'ir
12.04.2026,Yakshanba,20,10,0.3,6.6,Ochiq
13.04.2026,Dushanba,20,9,0.0,12.4,Ochiq
