Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,22,13,0.0,20.8,Ochiq
08.04.2026,Chorshanba,21,14,0.1,13.8,Ochiq
09.04.2026,Payshanba,22,13,0.4,13.1,Ochiq
10.04.2026,Juma,26,13,0.0,14.4,Ochiq
11.04.2026,Shanba,26,15,0.0,14.1,Ochiq
12.04.2026,Yakshanba,27,17,0.0,15.9,Ochiq
13.04.2026,Dushanba,30,19,0.0,14.9,Quyoshli
