Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,22,13,0.3,15.0,Ochiq
08.04.2026,Chorshanba,18,12,7.6,18.7,Kuchli yomg'ir
09.04.2026,Payshanba,15,11,6.9,14.6,Kuchli yomg'ir
10.04.2026,Juma,20,9,0.0,6.6,Ochiq
11.04.2026,Shanba,23,10,0.0,12.4,Ochiq
12.04.2026,Yakshanba,23,11,0.0,7.9,Ochiq
13.04.2026,Dushanba,24,12,0.0,10.2,Ochiq
