Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,20,14,1.0,14.3,Yengil yomg'ir
08.04.2026,Chorshanba,17,13,0.4,10.8,Bulutli
09.04.2026,Payshanba,17,12,2.0,15.5,Yengil yomg'ir
10.04.2026,Juma,23,12,0.0,12.4,Ochiq
11.04.2026,Shanba,22,13,2.4,11.6,Yomg'ir
12.04.2026,Yakshanba,23,13,0.0,8.4,Ochiq
13.04.2026,Dushanba,24,15,0.0,10.0,Ochiq
