Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,21,12,0.0,21.5,Ochiq
08.04.2026,Chorshanba,21,11,0.0,21.5,Ochiq
09.04.2026,Payshanba,20,11,0.5,11.6,Ochiq
10.04.2026,Juma,25,12,0.0,16.5,Ochiq
11.04.2026,Shanba,25,13,0.0,12.3,Ochiq
12.04.2026,Yakshanba,27,14,0.0,16.3,Ochiq
13.04.2026,Dushanba,29,16,0.0,15.3,Ochiq
