Sana,Hafta kuni,Max °C,Min °C,Yog'in mm,Shamol m/s,Holat
07.04.2026,Seshanba,17,12,8.4,8.7,Kuchli yomg'ir
08.04.2026,Chorshanba,13,10,33.0,19.1,Kuchli yomg'ir
09.04.2026,Payshanba,15,9,4.8,13.1,Yomg'ir
10.04.2026,Juma,20,7,0.0,9.4,Ochiq
11.04.2026,Shanba,21,10,0.6,13.1,Yengil yomg'ir
12.04.2026,Yakshanba,20,9,0.3,6.6,Ochiq
13.04.2026,Dushanba,20,9,0.0,12.4,Ochiq
